Bus Stop Name,Latitude,Longitude
THIRUVOTRIYUR,,
THIRUVOTRIYUR TEMPLE,,
THANGAL,,
ANNA NAGAR,,
ROYAPURAM P.S,,
CLIVE BATTERY,,
PARRYS,,
M.G.R.CENTRAL,,
P.OR & SONS,,
WESLEY H.S,,
Y.M.I.A,,
MANDAVELI,,
A.M.S.HOSPITAL,,
ADYAR O.T.,,
ADYAR DEPOT,,
THIRUVANMIYUR,,
THRUVOTRIYUR TEMPLE,,
DASAPRAKASH,,
TAYLORS ROAD,,
AMINJIKARAI,,
NADUVANKARAI,,
ARUMBAKKAM,,
NERKUNDRAM,,
MADURAVOYAL,,
VAANAGARAM,,
VELAPPANCHAVADI,,
KUMUNANCHAVADI,,
POONAMALLEE,,
BROADWAY,,
SECRETARIAT,,
CHEPAUK,,
Q.M.C,,
FORESHORE ESTATE,,
INDIRA NAGAR WATER TANK,,
SRP TOOLS,,
KANDANCHAVADI,,
THORAPPAKKAM TEA SHOP,,
MOOTAKARAN CHAVADI,,
KARAPAKKAM,,
SHOZHANGANALLUR P.U.OFFICE,,
KUMARAN NAGAR,,
SEMMANCHERI,,
NAVALUR,,
CHURCH,,
PALAVASTHIC CHEMICALS,,
HINDUSTAN ENG. COLLEGE,,
KELAMBAKKAM,,
SIPCOT,,
SIRUSERI I.T.PARK,,
PUDUPAKKAM P.U.O.,,
PUDUPAKKAM/VANDALOOR RD.J,,
NUCLEUS COMPANY,,
SEMMANCHERI S.C.B.,,
INDIRA NAGAR,,
THORAPPAKKAM P.T.C COLONY,,
KANNAGI NAGAR S.C.B.,,
ADYAR B.S.,,
CHENGAMMAL RD. JN.,,
KOMAN NAGAR RD JN.,,
KALAVAKKAM TEA STALL,,
THIRUPORUR,,
MANAMATHI ROAD JN,,
CHIRUTHAVOOR JN.,,
AMMUR COLONY,,
KALAVAKKAM,,
MANAMATHI SCHOOL,,
MANAMATHI,,
PERUMPAKKAM S.C.B.,,
OKK.THORAIPAKM SEC.COLONY,,
REDHILLS,,
AYURVEDHA ASHARAMAM,,
KAVANGARAI,,
SCREW FACTORY,,
SURAPEDU,,
KALLIKUPPAM,,
PUDUR,,
AMBATTUR O.T.,,
DUNLOP,,
AMBATTUR I.E.,,
NALAMBUR SERVICE RD,,
MADURAVOYAL JN,,
TVS MCC MOTORS,,
TOLL PLAZA,,
PORUR JN,,
MANGADU RD JN,,
KOVOOR RD JN,,
PAMMAL ADAYAR BRIDGE,,
THENDRAL NAGAR,,
THIRUNEERMALAI RD JN.,,
PETROL BUNK,,
MUDICHUR RD JN.,,
IRUMBULIYUR,,
TAMBARAM,,
M.G.R.KOYAMBEDU,,
KOYAMBEDU SCHOOL,,
THIRUNEERMALAI RD.JN.,,
MUDICHUR RD.JN.,,
PERUNGALATHUR,,
VANDALUR GATE,,
VANDALUR ZOO,,
URAPAKKAM,,
PALAKKA COMPANY,,
GUDUVANCHERY,,
TAMBARAM WEST,,
TAMBARAM EAST,,
CONVENT,,
MAHALAKSHMI NAGAR,,
S.I.V.E.T,,
MEDAVAKKAM RD.JN.,,
CHITHALAPAKKAM,,
ARASANKAZHANI,,
OTTIAMBAKKAM,,
THAZHAMBUR ROAD JN,,
THAZHAMBUR PANCHAYAT OFFICE,,
CAMP ROAD,,
BALAJI NAGAR (BHARATH ENG COL),,
MADAMBAKKAM KOIL,,
NOOTHANCHERI,,
JN.OF MAMBAKKAM & O.BAKKAM RD.,,
KARANAI,,
THALAMBUR,,
KOTTIVAKKAM,,
PALAVAKKAM,,
NEELANKARAI,,
VETTUVANKENI,,
CHOLA MANDAL,,
INJAMBAKKAM,,
PANAIYUR,,
UTHANDI VILLAGE,,
KANATHUR,,
NATURE CARE HOSPITAL,,
MUTTUKKADU,,
MUTTUKKADU BOAT YARD,,
KOVALAM,,
Q.M.ARTS COLLEGE,,
SALT OFFICE,,
TOLLGATE,,
TONDAIAYRPET,,
KALMANDAPAM P.S.,,
PARRYS\BROADWAY,,
EGMORE,,
MATERNITY HOSPITAL,,
D.P.I,,
STERLING RD./METROLOG. DEPT.,,
VIDYODAYA,,
PONDY BAZAAR/VIVEK & CO,,
THIAGARAYA NAGAR,,
SRINIVASA THEATER,,
SAIDAPET WEST,,
VIVEK & CO (KRISHNAN KOIL),,
GOVT. GIRLS H.SC,,
JAFFARKHAN PET,,
EKKATTUTHANGAL,,
T.V.S,,
D.M.S,,
PONDY BAZAAR,,
THIRUVERKADU,,
KOYAMBEDU MARKET,,
KOYAMBEDU P.S,,
M.M.D.A.COLONY RD.JN.,,
JN OF III AND 1ST AVE,,
CIPET,,
ST THOMAS MOUNT PO,,
MEENAMABAKKAM OLD AIRPORT,,
THIRUSOOLAM NATIONAL AIRPORT,,
PALLAVARAM,,
